,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMZN231020C00050000,2022-12-23 19:43:36+00:00,50.0,38.78,38.6,39.55,2.209999,6.0432024,6,24,0.6543003320312502,True,REGULAR,USD
1,AMZN231020C00055000,2022-12-15 19:57:41+00:00,55.0,37.6,34.55,35.15,0.0,0.0,1,7,0.6129189099121095,True,REGULAR,USD
2,AMZN231020C00060000,2022-12-22 14:47:30+00:00,60.0,30.9,30.55,31.2,0.0,0.0,1,234,0.5810588769531251,True,REGULAR,USD
3,AMZN231020C00065000,2022-12-23 18:11:26+00:00,65.0,26.55,26.95,27.5,1.5,5.988024,1,20,0.5583540258789064,True,REGULAR,USD
4,AMZN231020C00070000,2022-12-23 14:36:03+00:00,70.0,22.3,23.45,23.85,0.7199993,3.3364193,2,59,0.531803998413086,True,REGULAR,USD
5,AMZN231020C00075000,2022-12-21 15:55:35+00:00,75.0,21.37,20.2,20.65,0.0,0.0,6,36,0.5119677709960937,True,REGULAR,USD
6,AMZN231020C00080000,2022-12-23 20:00:31+00:00,80.0,17.44,17.3,17.6,1.3400002,8.322982,6,201,0.49884534362792965,True,REGULAR,USD
7,AMZN231020C00085000,2022-12-23 20:49:28+00:00,85.0,14.84,14.6,15.0,0.8699999,6.2276297,6,427,0.485356708984375,True,REGULAR,USD
8,AMZN231020C00090000,2022-12-23 16:55:00+00:00,90.0,11.8,12.2,12.5,0.1800003,1.549056,37,628,0.46753462158203124,False,REGULAR,USD
9,AMZN231020C00095000,2022-12-23 18:26:09+00:00,95.0,9.96,10.1,10.45,0.31000042,3.2124398,1,403,0.45667047241210945,False,REGULAR,USD
10,AMZN231020C00100000,2022-12-23 20:51:19+00:00,100.0,8.4,8.35,8.55,0.4499998,5.660375,338,1386,0.4431818377685547,False,REGULAR,USD
11,AMZN231020C00105000,2022-12-23 20:17:03+00:00,105.0,7.0,6.8,7.0,0.9000001,14.7541,7,610,0.4339045867919922,False,REGULAR,USD
12,AMZN231020C00110000,2022-12-23 20:45:09+00:00,110.0,5.59,5.4,5.65,0.44000006,8.543691,385,752,0.4243221630859375,False,REGULAR,USD
13,AMZN231020C00115000,2022-12-23 19:54:59+00:00,115.0,4.4,4.4,4.6,0.3499999,8.641973,26,723,0.4187680194091796,False,REGULAR,USD
14,AMZN231020C00120000,2022-12-23 20:42:28+00:00,120.0,3.6,3.55,3.7,0.39999986,12.499995,392,1302,0.41272559936523434,False,REGULAR,USD
15,AMZN231020C00125000,2022-12-23 19:21:33+00:00,125.0,2.79,2.81,2.95,0.089999914,3.3333302,305,782,0.4068662829589844,False,REGULAR,USD
16,AMZN231020C00130000,2022-12-23 19:48:00+00:00,130.0,2.28,2.29,2.38,0.12999988,6.0465055,757,2780,0.40369248657226564,False,REGULAR,USD
17,AMZN231020C00135000,2022-12-23 19:46:10+00:00,135.0,1.9,1.84,1.94,0.17999995,10.465113,5,540,0.4023497265625,False,REGULAR,USD
18,AMZN231020C00140000,2022-12-23 20:07:03+00:00,140.0,1.53,1.44,1.59,0.13,9.285714,775,1310,0.4018614501953125,False,REGULAR,USD
19,AMZN231020C00145000,2022-12-23 18:19:22+00:00,145.0,1.21,1.23,1.31,0.110000014,10.000002,119,2380,0.4018614501953125,False,REGULAR,USD
